"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 11 23:36:39 UTC 2025","Thu Dec 11 23:36:43 UTC 2025","4747","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Air : 4",""
"passed","Thu Dec 11 23:37:51 UTC 2025","Thu Dec 11 23:37:55 UTC 2025","3608","Google Chrome","search.spec.ts","","","","@search @sanity verify product search imac",""
"passed","Thu Dec 11 23:37:48 UTC 2025","Thu Dec 11 23:37:51 UTC 2025","3609","Google Chrome","search.spec.ts","","","","@search @sanity verify product search samsung",""
"passed","Thu Dec 11 23:36:19 UTC 2025","Thu Dec 11 23:36:24 UTC 2025","5163","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Pro",""
"passed","Thu Dec 11 23:36:53 UTC 2025","Thu Dec 11 23:36:58 UTC 2025","5098","Google Chrome","productinfo.spec.ts","","","","verify product Pricing",""
"passed","Thu Dec 11 23:36:16 UTC 2025","Thu Dec 11 23:36:19 UTC 2025","2994","Google Chrome","loginpage.spec.ts","","","","verify Invalid login @wip",""
"passed","Thu Dec 11 23:36:24 UTC 2025","Thu Dec 11 23:36:29 UTC 2025","5118","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Air",""
"passed","Thu Dec 11 23:35:53 UTC 2025","Thu Dec 11 23:36:01 UTC 2025","8574","Google Chrome","loginpage.spec.ts","","","","verify valid login @login",""
"passed","Thu Dec 11 23:37:44 UTC 2025","Thu Dec 11 23:37:48 UTC 2025","3585","Google Chrome","search.spec.ts","","","","@search @sanity verify product search macbook",""
"passed","Thu Dec 11 23:37:35 UTC 2025","Thu Dec 11 23:37:40 UTC 2025","4471","Google Chrome","register.spec.ts","","","","@register verify user is able to register Bob",""
"passed","Thu Dec 11 23:36:29 UTC 2025","Thu Dec 11 23:36:34 UTC 2025","4703","Google Chrome","productinfo.spec.ts","","","","verify product Header Samsung Galaxy Tab 10.1",""
"passed","Thu Dec 11 23:36:49 UTC 2025","Thu Dec 11 23:36:53 UTC 2025","4806","Google Chrome","productinfo.spec.ts","","","","verify product MetaData",""
"passed","Thu Dec 11 23:37:55 UTC 2025","Thu Dec 11 23:37:59 UTC 2025","3633","Google Chrome","search.spec.ts","","","","@search @sanity verify product search canon",""
"broken","Thu Dec 11 23:36:58 UTC 2025","Thu Dec 11 23:37:30 UTC 2025","31148","Google Chrome","regfix.spec.ts","","","","Register a user from CSV",""
"passed","Thu Dec 11 23:36:34 UTC 2025","Thu Dec 11 23:36:39 UTC 2025","4737","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Pro : 4",""
"passed","Thu Dec 11 23:37:30 UTC 2025","Thu Dec 11 23:37:35 UTC 2025","4557","Google Chrome","register.spec.ts","","","","@register verify user is able to register Alice",""
"passed","Thu Dec 11 23:37:40 UTC 2025","Thu Dec 11 23:37:44 UTC 2025","4560","Google Chrome","register.spec.ts","","","","@register verify user is able to register Charlie",""
"passed","Thu Dec 11 23:36:43 UTC 2025","Thu Dec 11 23:36:49 UTC 2025","5076","Google Chrome","productinfo.spec.ts","","","","verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Thu Dec 11 23:37:59 UTC 2025","Thu Dec 11 23:38:02 UTC 2025","3591","Google Chrome","search.spec.ts","","","","@search @sanity verify product search Dummy",""
